datetime,temperature
1993/10/1,22
1993/11/1,6
1993/12/1,16
1994/1/1,27
1994/2/1,2
1994/3/1,27
1994/4/1,40
1994/5/1,28
1994/6/1,42
1994/7/1,30
1994/8/1,21
1994/9/1,29
1994/10/1,41
1994/11/1,46
1994/12/1,36
1995/1/1,51
1995/2/1,78
1995/3/1,45
1995/4/1,47
1995/5/1,26
1995/6/1,41
1995/7/1,48
1995/8/1,46
1995/9/1,32
1995/10/1,47
1995/11/1,45
1995/12/1,28
1996/1/1,25
1996/2/1,48
1996/3/1,32
1996/4/1,36
1996/5/1,27
1996/6/1,25
1996/7/1,35
1996/8/1,49
1996/9/1,25
1996/10/1,19
1996/11/1,41
1996/12/1,40
1997/1/1,31
1997/2/1,38
1997/3/1,53
1997/4/1,36
1997/5/1,36
1997/6/1,53
1997/7/1,35
1997/8/1,41
1997/9/1,53
1997/10/1,62
1997/11/1,65
1997/12/1,59
1998/1/1,60
1998/2/1,90
1998/3/1,63
1998/4/1,63
1998/5/1,69
1998/6/1,77
1998/7/1,68
1998/8/1,66
1998/9/1,42
1998/10/1,44
1998/11/1,49
1998/12/1,56
1999/1/1,48
1999/2/1,65
1999/3/1,34
1999/4/1,32
1999/5/1,31
1999/6/1,37
1999/7/1,37
1999/8/1,31
1999/9/1,41
1999/10/1,39
1999/11/1,38
1999/12/1,43
2000/1/1,23
2000/2/1,56
2000/3/1,57
2000/4/1,57
2000/5/1,36
2000/6/1,41
2000/7/1,38
2000/8/1,42
2000/9/1,40
2000/10/1,28
2000/11/1,32
2000/12/1,29
2001/1/1,42
2001/2/1,43
2001/3/1,55
2001/4/1,50
2001/5/1,56
2001/6/1,54
2001/7/1,60
2001/8/1,48
2001/9/1,53
2001/10/1,50
2001/11/1,69
2001/12/1,55
2002/1/1,75
2002/2/1,75
2002/3/1,89
2002/4/1,56
2002/5/1,63
2002/6/1,55
2002/7/1,61
2002/8/1,53
2002/9/1,62
2002/10/1,55
2002/11/1,58
2002/12/1,43
2003/1/1,73
2003/2/1,55
2003/3/1,57
2003/4/1,53
2003/5/1,60
2003/6/1,47
2003/7/1,53
2003/8/1,65
2003/9/1,64
2003/10/1,74
2003/11/1,52
2003/12/1,73
2004/1/1,58
2004/2/1,72
2004/3/1,64
2004/4/1,62
2004/5/1,38
2004/6/1,42
2004/7/1,24
2004/8/1,43
2004/9/1,50
2004/10/1,64
2004/11/1,70
2004/12/1,51
2005/1/1,72
2005/2/1,57
2005/3/1,69
2005/4/1,66
2005/5/1,62
2005/6/1,66
2005/7/1,63
2005/8/1,60
2005/9/1,74
2005/10/1,75
2005/11/1,71
2005/12/1,65
2006/1/1,56
2006/2/1,69
2006/3/1,62
2006/4/1,50
2006/5/1,46
2006/6/1,64
2006/7/1,52
2006/8/1,70
2006/9/1,61
2006/10/1,67
2006/11/1,70
2006/12/1,73
2007/1/1,95
2007/2/1,70
2007/3/1,69
2007/4/1,73
2007/5/1,66
2007/6/1,59
